,User ID,Subscription Type,Monthly Revenue,Join Date,Last Payment Date,Country,Age,Gender,Device,Plan Duration
39,40,basic,10,07-03-23,22-06-23,italy,48,es nan,tablet,1 month
40,41,premium,15,20-01-23,22-06-23,united states,31,es nan,laptop,1 month
41,42,basic,10,15-06-22,28-06-23,canada,40,es nan,smartphone,1 month
42,43,standard,12,07-02-22,27-06-23,united kingdom,36,es nan,smart tv,1 month
43,44,standard,12,26-04-22,26-06-23,australia,29,es nan,tablet,1 month
44,45,basic,10,28-01-23,28-06-23,germany,43,es nan,laptop,1 month
45,46,premium,15,23-02-22,27-06-23,france,34,es nan,smartphone,1 month
46,47,basic,10,05-10-22,25-06-23,brazil,39,es nan,smart tv,1 month
47,48,standard,12,15-09-21,24-06-23,mexico,32,es nan,tablet,1 month
48,49,premium,15,10-11-22,23-06-23,spain,28,es nan,laptop,1 month
49,50,basic,10,02-06-23,22-06-23,italy,45,es nan,smartphone,1 month
50,51,premium,15,27-02-23,22-06-23,united states,30,es nan,smart tv,1 month
51,52,basic,10,29-08-22,28-06-23,canada,37,es nan,tablet,1 month
52,53,standard,12,13-01-22,27-06-23,united kingdom,41,es nan,laptop,1 month
53,54,standard,12,30-06-22,26-06-23,australia,29,es nan,smartphone,1 month
54,55,basic,10,20-04-23,28-06-23,germany,39,es nan,smart tv,1 month
55,56,premium,15,15-03-22,27-06-23,france,36,es nan,tablet,1 month
56,57,basic,10,01-10-22,25-06-23,brazil,46,es nan,laptop,1 month
57,58,standard,12,08-10-21,24-06-23,mexico,34,es nan,smartphone,1 month
58,59,premium,15,03-12-22,23-06-23,spain,27,es nan,smart tv,1 month
59,60,basic,10,14-06-23,22-06-23,italy,42,es nan,tablet,1 month
60,61,premium,15,08-02-23,22-06-23,united states,28,es nan,laptop,1 month
61,62,basic,10,03-08-22,28-06-23,canada,37,es nan,smartphone,1 month
62,63,standard,12,23-02-22,27-06-23,united kingdom,41,es nan,smart tv,1 month
63,64,standard,12,20-06-22,26-06-23,australia,29,es nan,tablet,1 month
64,65,basic,10,29-03-23,28-06-23,germany,40,es nan,laptop,1 month
65,66,premium,15,30-01-22,27-06-23,france,29,es nan,smartphone,1 month
66,67,basic,10,18-09-22,25-06-23,brazil,47,es nan,smart tv,1 month
67,68,standard,12,09-11-21,24-06-23,mexico,33,es nan,tablet,1 month
68,69,premium,15,23-12-22,23-06-23,spain,36,es nan,laptop,1 month
69,70,basic,10,08-05-23,22-06-23,italy,41,es nan,smartphone,1 month
70,71,basic,10,26-01-22,20-06-23,united states,27,es nan,smartphone,1 month
71,72,basic,10,11-10-22,22-06-23,canada,31,es nan,smartphone,1 month
72,73,standard,12,27-09-22,26-06-23,united kingdom,28,es nan,laptop,1 month
73,74,premium,13,14-12-22,25-06-23,australia,41,es nan,smartphone,1 month
74,75,basic,13,28-05-22,26-06-23,germany,28,es nan,laptop,1 month
75,76,basic,13,29-12-21,26-06-23,france,51,es nan,laptop,1 month
76,77,premium,15,25-12-22,23-06-23,brazil,45,es nan,smartphone,1 month
77,78,standard,15,18-11-22,28-06-23,mexico,49,es nan,tablet,1 month
78,79,standard,15,03-12-22,25-06-23,spain,43,es nan,laptop,1 month
79,80,basic,12,08-11-22,22-06-23,italy,43,es nan,tablet,1 month
80,81,premium,10,11-01-23,24-06-23,united states,37,es nan,tablet,1 month
81,82,standard,12,07-12-22,28-06-23,canada,35,es nan,laptop,1 month
82,83,basic,10,20-10-22,26-06-23,united kingdom,46,es nan,smartphone,1 month
83,84,standard,12,13-04-23,25-06-23,australia,32,es nan,smartphone,1 month
84,85,premium,10,06-04-23,27-06-23,germany,37,es nan,laptop,1 month
85,86,basic,11,04-03-22,25-06-23,france,29,es nan,smartphone,1 month
86,87,premium,15,28-12-21,23-06-23,brazil,45,es nan,smart tv,1 month
87,88,standard,12,27-09-22,28-06-23,mexico,47,es nan,tablet,1 month
88,89,basic,15,20-10-22,26-06-23,spain,39,es nan,smartphone,1 month
89,90,standard,13,03-02-23,23-06-23,italy,49,es nan,smartphone,1 month
90,91,premium,11,03-10-22,23-06-23,united states,39,es nan,tablet,1 month
91,92,basic,14,05-01-22,28-06-23,canada,39,es nan,smart tv,1 month
92,93,standard,12,05-02-22,26-06-23,united kingdom,35,es nan,smartphone,1 month
93,94,premium,12,19-03-22,25-06-23,australia,44,es nan,smartphone,1 month
94,95,basic,11,28-02-22,25-06-23,germany,34,es nan,laptop,1 month
95,96,premium,14,26-07-22,24-06-23,france,32,es nan,laptop,1 month
96,97,basic,10,05-03-22,24-06-23,brazil,29,es nan,tablet,1 month
97,98,standard,13,07-03-22,28-06-23,mexico,31,es nan,tablet,1 month
98,99,standard,12,13-01-23,24-06-23,spain,29,es nan,tablet,1 month
99,100,basic,12,22-01-23,25-06-23,italy,35,es nan,laptop,1 month
100,101,premium,11,17-10-22,24-06-23,united states,46,es nan,tablet,1 month
101,102,basic,12,29-03-22,28-06-23,canada,31,es nan,tablet,1 month
102,103,standard,13,04-04-22,26-06-23,united kingdom,36,es nan,laptop,1 month
103,104,premium,10,08-06-22,25-06-23,australia,38,es nan,laptop,1 month
104,105,basic,11,04-03-22,27-06-23,germany,46,es nan,laptop,1 month
105,106,premium,10,18-03-22,24-06-23,france,49,es nan,tablet,1 month
106,107,basic,14,07-03-22,24-06-23,brazil,29,es nan,smart tv,1 month
107,108,standard,12,24-05-22,25-06-23,mexico,27,es nan,smart tv,1 month
108,109,standard,13,08-02-23,25-06-23,spain,35,es nan,tablet,1 month
109,110,basic,13,26-01-23,24-06-23,italy,37,es nan,laptop,1 month
110,111,premium,14,14-07-22,27-06-23,united states,40,es nan,tablet,1 month
111,112,basic,10,01-06-22,28-06-23,canada,33,es nan,laptop,1 month
112,113,standard,15,07-05-22,26-06-23,united kingdom,37,es nan,tablet,1 month
113,114,premium,10,18-11-22,25-06-23,australia,48,es nan,smartphone,1 month
114,115,basic,11,05-04-22,25-06-23,germany,50,es nan,laptop,1 month
115,116,premium,14,19-05-22,23-06-23,france,45,es nan,smart tv,1 month
116,117,basic,15,30-10-21,23-06-23,brazil,40,es nan,tablet,1 month
117,118,standard,12,07-08-22,27-06-23,mexico,33,es nan,smartphone,1 month
118,119,standard,11,20-09-22,25-06-23,spain,44,es nan,smartphone,1 month
119,120,basic,10,18-10-22,25-06-23,italy,30,es nan,smart tv,1 month
120,121,premium,15,03-10-22,24-06-23,united states,27,es nan,smart tv,1 month
121,122,basic,11,03-05-22,28-06-23,canada,51,es nan,smart tv,1 month
122,123,standard,13,25-05-22,26-06-23,united kingdom,49,es nan,smartphone,1 month
123,124,premium,15,05-11-22,25-06-23,australia,43,es nan,laptop,1 month
124,125,basic,12,21-08-22,24-06-23,germany,42,es nan,smartphone,1 month
125,126,premium,13,21-09-22,23-06-23,france,45,es nan,laptop,1 month
126,127,basic,10,23-11-21,23-06-23,brazil,36,es nan,smartphone,1 month
127,128,standard,12,06-10-22,27-06-23,mexico,48,es nan,smartphone,1 month
128,129,standard,13,05-11-22,23-06-23,spain,38,es nan,smart tv,1 month
129,130,basic,14,07-01-23,23-06-23,italy,43,es nan,tablet,1 month
130,131,premium,15,06-10-22,23-06-23,united states,47,es nan,laptop,1 month
131,132,basic,15,24-06-22,28-06-23,canada,48,es nan,smart tv,1 month
132,133,standard,13,24-06-22,26-06-23,united kingdom,47,es nan,smart tv,1 month
133,134,premium,15,05-11-22,25-06-23,australia,32,es nan,tablet,1 month
134,135,basic,13,18-07-22,26-06-23,germany,47,es nan,smart tv,1 month
135,136,premium,12,13-09-22,26-06-23,france,41,es nan,smart tv,1 month
136,137,basic,12,10-08-22,22-06-23,brazil,49,es nan,laptop,1 month
137,138,standard,15,21-09-22,23-06-23,mexico,28,es nan,laptop,1 month
138,139,standard,13,24-03-23,23-06-23,spain,40,es nan,smartphone,1 month
139,140,basic,12,02-05-22,23-06-23,italy,43,es nan,smartphone,1 month
140,141,premium,12,11-05-22,27-06-23,united states,42,es nan,smartphone,1 month
141,142,basic,14,10-06-22,22-06-23,canada,28,es nan,smart tv,1 month
142,143,standard,14,31-08-22,24-06-23,united kingdom,30,es nan,tablet,1 month
143,144,premium,10,17-08-22,26-06-23,australia,33,es nan,smart tv,1 month
144,145,basic,11,05-05-22,26-06-23,germany,35,es nan,laptop,1 month
145,146,basic,10,06-10-22,25-06-23,france,38,es nan,tablet,1 month
146,147,basic,12,08-11-22,24-06-23,brazil,49,es nan,laptop,1 month
147,148,standard,15,27-11-22,28-06-23,mexico,39,es nan,smartphone,1 month
148,149,premium,13,17-11-22,27-06-23,spain,46,es nan,smart tv,1 month
149,150,basic,10,15-12-22,23-06-23,italy,47,es nan,laptop,1 month
150,151,basic,15,12-12-22,25-06-23,united states,30,es nan,laptop,1 month
151,152,premium,14,23-11-22,27-06-23,canada,33,es nan,tablet,1 month
152,153,standard,11,25-12-22,24-06-23,united kingdom,47,es nan,smartphone,1 month
153,154,standard,11,11-03-23,27-06-23,australia,27,es nan,laptop,1 month
154,155,basic,14,18-11-22,27-06-23,germany,28,es nan,tablet,1 month
155,156,premium,15,19-08-22,25-06-23,france,47,es nan,smartphone,1 month
156,157,standard,14,27-09-22,24-06-23,brazil,30,es nan,laptop,1 month
157,158,basic,13,19-10-22,28-06-23,mexico,47,es nan,smartphone,1 month
158,159,standard,10,21-12-22,26-06-23,spain,51,es nan,smart tv,1 month
159,160,premium,15,27-10-22,25-06-23,italy,39,es nan,smartphone,1 month
160,161,basic,10,23-10-22,24-06-23,united states,45,es nan,tablet,1 month
161,162,premium,15,19-04-22,25-06-23,canada,31,es nan,laptop,1 month
162,163,standard,11,05-04-22,26-06-23,united kingdom,29,es nan,laptop,1 month
163,164,basic,11,11-03-22,26-06-23,australia,42,es nan,tablet,1 month
164,165,standard,14,25-05-22,25-06-23,germany,49,es nan,tablet,1 month
165,166,premium,13,16-04-22,26-06-23,france,42,es nan,laptop,1 month
166,167,basic,13,07-04-22,24-06-23,brazil,29,es nan,smartphone,1 month
167,168,standard,10,11-12-22,28-06-23,mexico,29,es nan,tablet,1 month
168,169,premium,12,20-01-23,26-06-23,spain,49,es nan,tablet,1 month
169,170,basic,14,12-01-23,25-06-23,italy,32,es nan,laptop,1 month
170,171,premium,11,29-04-22,24-06-23,united states,35,es nan,tablet,1 month
171,172,basic,12,27-04-22,26-06-23,canada,39,es nan,smartphone,1 month
172,173,standard,15,03-06-22,25-06-23,united kingdom,40,es nan,smartphone,1 month
173,174,standard,14,23-04-22,25-06-23,australia,39,es nan,tablet,1 month
174,175,basic,10,22-04-22,26-06-23,germany,47,es nan,laptop,1 month
175,176,premium,13,12-04-22,25-06-23,france,37,es nan,smart tv,1 month
176,177,basic,15,23-05-22,26-06-23,brazil,27,es nan,smartphone,1 month
177,178,standard,13,19-10-22,26-06-23,mexico,49,es nan,laptop,1 month
178,179,premium,10,03-12-22,26-06-23,spain,30,es nan,tablet,1 month
179,180,basic,14,26-09-22,25-06-23,italy,36,es nan,laptop,1 month
180,181,premium,15,16-06-22,27-06-23,united states,33,es nan,smartphone,1 month
181,182,basic,13,16-05-22,25-06-23,canada,30,es nan,laptop,1 month
182,183,standard,15,26-05-22,26-06-23,united kingdom,36,es nan,tablet,1 month
183,184,standard,13,26-04-22,25-06-23,australia,28,es nan,laptop,1 month
184,185,basic,11,12-05-22,25-06-23,germany,47,es nan,tablet,1 month
185,186,premium,12,01-03-22,25-06-23,france,33,es nan,smart tv,1 month
186,187,basic,13,10-07-22,24-06-23,brazil,49,es nan,laptop,1 month
187,188,standard,15,16-07-22,27-06-23,mexico,44,es nan,smart tv,1 month
188,189,premium,13,02-09-22,26-06-23,spain,47,es nan,smart tv,1 month
189,190,basic,11,18-09-22,26-06-23,italy,37,es nan,tablet,1 month
190,191,premium,10,08-07-22,25-06-23,united states,46,es nan,laptop,1 month
191,192,basic,14,26-06-22,27-06-23,canada,50,es nan,smartphone,1 month
192,193,standard,11,05-08-22,25-06-23,united kingdom,50,es nan,laptop,1 month
193,194,standard,14,19-08-22,27-06-23,australia,37,es nan,laptop,1 month
194,195,basic,11,26-08-22,24-06-23,germany,50,es nan,smartphone,1 month
195,196,premium,13,09-06-22,24-06-23,france,45,es nan,smart tv,1 month
196,197,basic,14,27-09-22,23-06-23,brazil,45,es nan,tablet,1 month
197,198,standard,10,18-10-22,27-06-23,mexico,49,es nan,laptop,1 month
198,199,premium,14,31-10-22,25-06-23,spain,39,es nan,tablet,1 month
199,200,basic,11,13-10-22,25-06-23,italy,45,es nan,tablet,1 month
200,201,premium,11,04-07-22,27-06-23,united states,49,es nan,smart tv,1 month
201,202,basic,12,26-06-22,27-06-23,canada,31,es nan,tablet,1 month
202,203,standard,13,31-07-22,24-06-23,united kingdom,42,es nan,smart tv,1 month
203,204,standard,12,27-07-22,24-06-23,australia,37,es nan,smartphone,1 month
204,205,basic,12,30-07-22,25-06-23,germany,30,es nan,smart tv,1 month
205,206,premium,11,06-08-22,25-06-23,france,40,es nan,smartphone,1 month
206,207,basic,15,16-09-22,24-06-23,brazil,45,es nan,smartphone,1 month
207,208,standard,15,05-01-23,23-06-23,mexico,36,es nan,tablet,1 month
208,209,premium,11,10-12-22,24-06-23,spain,41,es nan,laptop,1 month
209,210,basic,14,22-11-22,26-06-23,italy,49,es nan,laptop,1 month
210,211,premium,15,15-11-22,27-06-23,united states,40,es nan,tablet,1 month
211,212,basic,11,28-10-22,26-06-23,canada,36,es nan,smart tv,1 month
212,213,standard,12,08-09-22,24-06-23,united kingdom,49,es nan,smart tv,1 month
213,214,standard,13,30-06-22,28-06-23,australia,43,es nan,laptop,1 month
214,215,basic,13,02-09-22,27-06-23,germany,50,es nan,smartphone,1 month
215,216,premium,14,08-10-22,24-06-23,france,51,es nan,smart tv,1 month
216,217,basic,15,13-11-22,25-06-23,brazil,44,es nan,smart tv,1 month
217,218,standard,12,15-11-22,28-06-23,mexico,27,es nan,tablet,1 month
218,219,premium,12,16-11-22,25-06-23,spain,46,es nan,smartphone,1 month
219,220,basic,12,26-11-22,27-06-23,italy,29,es nan,tablet,1 month
220,221,basic,12,26-11-22,25-06-23,united states,47,es nan,smartphone,1 month
221,222,basic,10,12-12-22,26-06-23,canada,48,es nan,smartphone,1 month
222,223,standard,12,08-01-23,25-06-23,united kingdom,34,es nan,smartphone,1 month
223,224,premium,15,27-11-22,29-06-23,australia,40,es nan,smartphone,1 month
224,225,basic,14,11-10-22,27-06-23,germany,48,es nan,smartphone,1 month
225,226,basic,10,27-09-22,26-06-23,france,35,es nan,smartphone,1 month
226,227,premium,12,30-09-22,24-06-23,brazil,51,es nan,smartphone,1 month
227,228,standard,10,04-11-22,27-06-23,mexico,39,es nan,smart tv,1 month
228,229,standard,13,04-11-22,27-06-23,spain,29,es nan,smartphone,1 month
229,230,basic,12,30-10-22,26-06-23,italy,51,es nan,laptop,1 month
230,231,premium,11,29-10-22,24-06-23,united states,43,es nan,smartphone,1 month
231,232,standard,11,30-08-22,27-06-23,canada,28,es nan,smartphone,1 month
232,233,basic,15,07-07-22,26-06-23,united kingdom,50,es nan,smart tv,1 month
233,234,standard,14,26-05-22,27-06-23,australia,44,es nan,laptop,1 month
234,235,premium,11,17-05-22,25-06-23,germany,50,es nan,laptop,1 month
235,236,basic,11,08-05-22,26-06-23,france,39,es nan,smartphone,1 month
236,237,premium,13,07-07-22,25-06-23,brazil,46,es nan,tablet,1 month
237,238,standard,15,17-07-22,28-06-23,mexico,48,es nan,smartphone,1 month
238,239,basic,15,23-12-22,26-06-23,spain,38,es nan,smart tv,1 month
239,240,standard,13,27-06-22,26-06-23,italy,38,es nan,smartphone,1 month
240,241,premium,13,31-05-22,27-06-23,united states,47,es nan,laptop,1 month
241,242,basic,12,02-06-22,26-06-23,canada,37,es nan,laptop,1 month
242,243,standard,11,25-05-22,27-06-23,united kingdom,33,es nan,laptop,1 month
243,244,premium,15,26-04-22,26-06-23,australia,28,es nan,smartphone,1 month
244,245,basic,13,20-04-22,26-06-23,germany,47,es nan,smart tv,1 month
245,246,premium,11,03-05-22,25-06-23,france,38,es nan,smartphone,1 month
246,247,basic,12,07-07-22,27-06-23,brazil,27,es nan,smart tv,1 month
247,248,standard,13,15-09-22,26-06-23,mexico,34,es nan,smartphone,1 month
248,249,standard,14,16-09-22,27-06-23,spain,42,es nan,smartphone,1 month
249,250,basic,14,09-08-22,26-06-23,italy,28,es nan,laptop,1 month
250,251,premium,15,25-06-22,27-06-23,united states,30,es nan,laptop,1 month
251,252,basic,11,30-05-22,26-06-23,canada,38,es nan,smartphone,1 month
252,253,standard,15,21-05-22,25-06-23,united kingdom,45,es nan,tablet,1 month
253,254,premium,12,20-05-22,27-06-23,australia,48,es nan,smart tv,1 month
254,255,basic,13,20-05-22,26-06-23,germany,46,es nan,smart tv,1 month
255,256,premium,12,30-05-22,26-06-23,france,34,es nan,tablet,1 month
256,257,basic,13,17-06-22,25-06-23,brazil,46,es nan,laptop,1 month
257,258,standard,11,16-07-22,28-06-23,mexico,41,es nan,smartphone,1 month
258,259,standard,15,05-08-22,26-06-23,spain,28,es nan,smartphone,1 month
259,260,basic,10,17-07-22,26-06-23,italy,27,es nan,smartphone,1 month
260,261,premium,13,04-07-22,25-06-23,united states,27,es nan,smart tv,1 month
261,262,basic,12,13-07-22,26-06-23,canada,28,es nan,tablet,1 month
262,263,standard,15,25-07-22,24-06-23,united kingdom,46,es nan,smartphone,1 month
263,264,premium,10,09-08-22,27-06-23,australia,51,es nan,smartphone,1 month
264,265,basic,11,05-08-22,25-06-23,germany,32,es nan,smart tv,1 month
265,266,premium,10,17-08-22,26-06-23,france,44,es nan,tablet,1 month
266,267,basic,11,08-09-22,27-06-23,brazil,44,es nan,laptop,1 month
267,268,standard,13,16-10-22,28-06-23,mexico,34,es nan,smart tv,1 month
268,269,standard,13,15-10-22,25-06-23,spain,29,es nan,laptop,1 month
269,270,basic,12,04-09-22,25-06-23,italy,47,es nan,smart tv,1 month
270,271,premium,14,20-08-22,26-06-23,united states,41,es nan,laptop,1 month
271,272,basic,10,10-08-22,26-06-23,canada,36,es nan,smartphone,1 month
272,273,standard,12,02-08-22,25-06-23,united kingdom,28,es nan,laptop,1 month
273,274,premium,10,01-08-22,24-06-23,australia,27,es nan,tablet,1 month
274,275,basic,15,06-08-22,25-06-23,germany,34,es nan,laptop,1 month
275,276,premium,14,09-08-22,25-06-23,france,34,es nan,smart tv,1 month
276,277,basic,13,12-09-22,26-06-23,brazil,37,es nan,tablet,1 month
277,278,standard,14,27-09-22,26-06-23,mexico,34,es nan,laptop,1 month
278,279,standard,15,12-11-22,24-06-23,spain,50,es nan,laptop,1 month
279,280,basic,12,13-11-22,27-06-23,italy,34,es nan,laptop,1 month
280,281,premium,12,02-11-22,28-06-23,united states,33,es nan,smart tv,1 month
281,282,basic,11,30-10-22,25-06-23,canada,33,es nan,smart tv,1 month
282,283,standard,15,30-06-22,26-06-23,united kingdom,46,es nan,smartphone,1 month
283,284,premium,14,04-08-22,28-06-23,australia,39,es nan,smartphone,1 month
284,285,basic,10,01-09-22,27-06-23,germany,42,es nan,laptop,1 month
285,286,premium,14,14-10-22,27-06-23,france,50,es nan,laptop,1 month
286,287,basic,10,16-10-22,26-06-23,brazil,43,es nan,smartphone,1 month
287,288,standard,14,20-10-22,28-06-23,mexico,51,es nan,smart tv,1 month
288,289,standard,15,20-11-22,25-06-23,spain,34,es nan,smart tv,1 month
289,290,basic,12,25-11-22,30-06-23,italy,48,es nan,smartphone,1 month
290,291,premium,13,04-12-22,27-06-23,united states,29,es nan,tablet,1 month
291,292,basic,11,12-12-22,27-06-23,canada,43,es nan,laptop,1 month
292,293,standard,14,09-12-22,25-06-23,united kingdom,39,es nan,laptop,1 month
293,294,premium,10,15-10-22,29-06-23,australia,50,es nan,laptop,1 month
294,295,basic,14,03-10-22,27-06-23,germany,45,es nan,laptop,1 month
295,296,basic,12,01-10-22,27-06-23,france,48,es nan,tablet,1 month
296,297,basic,13,02-11-22,24-06-23,brazil,40,es nan,smartphone,1 month
297,298,standard,14,03-11-22,27-06-23,mexico,41,es nan,tablet,1 month
298,299,premium,10,30-10-22,27-06-23,spain,27,es nan,smartphone,1 month
299,300,basic,11,30-10-22,28-06-23,italy,36,es nan,laptop,1 month
300,301,basic,10,27-09-22,24-06-23,united states,36,es nan,laptop,1 month
301,302,premium,11,14-09-22,27-06-23,canada,44,es nan,tablet,1 month
302,303,standard,12,11-06-22,26-06-23,united kingdom,45,es nan,tablet,1 month
303,304,standard,12,11-06-22,29-06-23,australia,33,es nan,smartphone,1 month
304,305,basic,13,24-05-22,26-06-23,germany,47,es nan,smart tv,1 month
305,306,premium,13,06-07-22,27-06-23,france,45,es nan,tablet,1 month
306,307,standard,11,08-07-22,28-06-23,brazil,29,es nan,smart tv,1 month
307,308,basic,13,27-10-22,27-06-23,mexico,31,es nan,smart tv,1 month
308,309,standard,11,09-08-22,28-06-23,spain,31,es nan,smartphone,1 month
309,310,premium,15,14-06-22,26-06-23,italy,49,es nan,smartphone,1 month
310,311,basic,15,07-06-22,27-06-23,united states,29,es nan,smartphone,1 month
311,312,premium,12,27-05-22,26-06-23,canada,50,es nan,laptop,1 month
312,313,standard,13,27-05-22,27-06-23,united kingdom,36,es nan,laptop,1 month
313,314,basic,10,21-04-22,26-06-23,australia,28,es nan,laptop,1 month
314,315,standard,15,28-04-22,27-06-23,germany,47,es nan,smart tv,1 month
315,316,premium,12,27-05-22,25-06-23,france,50,es nan,laptop,1 month
316,317,basic,15,25-08-22,28-06-23,brazil,44,es nan,tablet,1 month
317,318,standard,10,02-09-22,27-06-23,mexico,39,es nan,laptop,1 month
318,319,premium,14,22-08-22,26-06-23,spain,32,es nan,smartphone,1 month
319,320,basic,15,02-08-22,27-06-23,italy,30,es nan,laptop,1 month
320,321,premium,12,22-06-22,27-06-23,united states,33,es nan,smartphone,1 month
321,322,basic,15,04-06-22,27-06-23,canada,44,es nan,smartphone,1 month
322,323,standard,14,31-05-22,26-06-23,united kingdom,40,es nan,smartphone,1 month
323,324,standard,15,22-05-22,27-06-23,australia,32,es nan,tablet,1 month
324,325,basic,13,29-05-22,27-06-23,germany,32,es nan,tablet,1 month
325,326,premium,11,11-06-22,27-06-23,france,30,es nan,smartphone,1 month
326,327,basic,12,06-07-22,26-06-23,brazil,32,es nan,smartphone,1 month
327,328,standard,12,26-07-22,27-06-23,mexico,45,es nan,tablet,1 month
328,329,premium,11,22-07-22,25-06-23,spain,35,es nan,smart tv,1 month
329,330,basic,10,06-07-22,26-06-23,italy,40,es nan,smart tv,1 month
330,331,premium,14,08-07-22,26-06-23,united states,29,es nan,tablet,1 month
331,332,basic,14,22-07-22,26-06-23,canada,31,es nan,tablet,1 month
332,333,standard,15,24-07-22,27-06-23,united kingdom,43,es nan,smart tv,1 month
333,334,standard,11,28-07-22,28-06-23,australia,34,es nan,smart tv,1 month
334,335,basic,10,11-08-22,25-06-23,germany,47,es nan,tablet,1 month
335,336,premium,12,02-09-22,26-06-23,france,35,es nan,laptop,1 month
336,337,basic,13,11-10-22,27-06-23,brazil,36,es nan,laptop,1 month
337,338,standard,12,15-10-22,27-06-23,mexico,33,es nan,tablet,1 month
338,339,premium,13,05-10-22,25-06-23,spain,30,es nan,laptop,1 month
339,340,basic,14,13-09-22,25-06-23,italy,44,es nan,smartphone,1 month
340,341,premium,13,24-08-22,26-06-23,united states,44,es nan,laptop,1 month
341,342,basic,11,09-08-22,26-06-23,canada,41,es nan,laptop,1 month
342,343,standard,13,06-08-22,25-06-23,united kingdom,46,es nan,smart tv,1 month
343,344,standard,13,07-08-22,26-06-23,australia,42,es nan,smartphone,1 month
344,345,basic,10,08-08-22,25-06-23,germany,48,es nan,smart tv,1 month
345,346,premium,15,31-08-22,26-06-23,france,37,es nan,tablet,1 month
346,347,basic,14,21-09-22,28-06-23,brazil,29,es nan,smartphone,1 month
347,348,standard,14,05-10-22,26-06-23,mexico,30,es nan,smart tv,1 month
348,349,premium,14,02-11-22,26-06-23,spain,28,es nan,smartphone,1 month
349,350,basic,10,02-11-22,28-06-23,italy,44,es nan,smartphone,1 month
350,351,premium,11,02-11-22,28-06-23,united states,34,es nan,smart tv,1 month
351,352,basic,10,20-09-22,26-06-23,canada,38,es nan,laptop,1 month
352,353,standard,14,10-08-22,26-06-23,united kingdom,34,es nan,smartphone,1 month
353,354,standard,10,16-08-22,28-06-23,australia,40,es nan,laptop,1 month
354,355,basic,15,12-10-22,27-06-23,germany,32,es nan,tablet,1 month
355,356,premium,11,14-10-22,30-06-23,france,38,es nan,smart tv,1 month
356,357,basic,15,18-10-22,26-06-23,brazil,39,es nan,smartphone,1 month
357,358,standard,12,11-11-22,28-06-23,mexico,34,es nan,smart tv,1 month
358,359,premium,11,20-11-22,26-06-23,spain,41,es nan,smartphone,1 month
